id;data;litri_erogati;sconto;prezzo_al_litro;tipo_carburante;gestore_id;tessera_id
1;2021-02-27T21:42:34;10;0.140;1.44498;DIESEL;100;1
2;2021-02-28T18:31:16;20;0.140;1.44498;DIESEL;100;2
3;2021-02-28T17:12:00;30;0.140;1.57877;BENZINA;200;3
4;2021-02-28T13:32:38;40;0.140;1.44498;DIESEL;200;3
5;2021-02-28T12:28:56;50;0.140;1.44498;DIESEL;200;3
6;2021-02-28T13:23:13;60;0.140;1.44498;DIESEL;200;3
7;2021-02-28T11:46:35;70;0.140;1.44498;DIESEL;200;3
8;2021-02-28T15:35:35;80;0.140;1.44498;DIESEL;200;3
9;2021-02-28T17:44:21;90;0.140;1.57877;BENZINA;200;3
10;2021-02-28T14:49:18;100;0.140;1.44498;DIESEL;200;3
11;2021-02-27T21:43:34;10;0.140;1.44498;DIESEL;100;1
12;2021-02-27T21:44:34;10;0.140;1.44498;DIESEL;100;1
13;2021-02-27T21:43:34;10;0.140;1.44498;DIESEL;100;1
14;2021-02-27T21:44:34;10;0.140;1.44498;DIESEL;100;1
15;2021-02-27T21:45:34;10;0.140;1.44498;DIESEL;100;1
16;2021-02-27T21:46:34;10;0.140;1.44498;DIESEL;100;1
17;2021-02-27T21:47:34;10;0.140;1.44498;DIESEL;100;1
18;2021-02-27T21:48:34;10;0.140;1.44498;DIESEL;100;1
19;2021-02-27T21:49:34;10;0.140;1.44498;DIESEL;100;1
20;2021-02-27T21:50:34;10;0.140;1.44498;DIESEL;100;1
21;2021-02-27T21:51:34;10;0.140;1.44498;DIESEL;100;1
22;2021-02-27T21:52:34;10;0.140;1.44498;DIESEL;100;1
23;2021-02-27T21:53:34;10;0.140;1.44498;DIESEL;100;1
24;2021-02-27T21:54:34;10;0.140;1.44498;DIESEL;100;1
25;2021-02-27T21:55:34;10;0.140;1.44498;DIESEL;100;1
26;2021-02-27T21:56:34;10;0.140;1.44498;DIESEL;100;1
27;2021-02-27T21:57:34;10;0.140;1.44498;DIESEL;100;1
28;2021-02-27T21:58:34;10;0.140;1.44498;DIESEL;100;1
29;2021-02-27T21:59:34;10;0.140;1.44498;DIESEL;100;1
30;2021-02-27T22:52:34;10;0.140;1.44498;DIESEL;100;1
31;2021-02-27T22:53:34;10;0.140;1.44498;DIESEL;100;1
32;2021-02-27T22:54:34;10;0.140;1.44498;DIESEL;100;1
33;2021-02-27T22:55:34;10;0.140;1.44498;DIESEL;100;1
34;2021-02-27T22:56:34;10;0.140;1.44498;DIESEL;100;1

